ID,LONGITUDE,LATITUDE,MOISTURE,CROP,ALTITUDE,DRY_BU_AC,Watershed,Treatment,Year_,Site
0,-93.277101,41.537136,1.19,"""SOYBEANS""",902.9,20.2792,Basswood1,A,2007,Basswood
1,-93.277064,41.537138,1.19,"""SOYBEANS""",902.6,31.1295,Basswood1,A,2007,Basswood
2,-93.277026,41.537141,1.19,"""SOYBEANS""",902.2,40.9058,Basswood1,A,2007,Basswood
3,-93.276986,41.537143,1.19,"""SOYBEANS""",901.9,48.5655,Basswood1,A,2007,Basswood
4,-93.276946,41.537144,1.19,"""SOYBEANS""",901.2,57.322,Basswood1,A,2007,Basswood
5,-93.276904,41.537146,1.19,"""SOYBEANS""",900.9,64.9579,Basswood1,A,2007,Basswood
6,-93.276862,41.537146,1.19,"""SOYBEANS""",900.6,66.042,Basswood1,A,2007,Basswood
7,-93.276822,41.537148,1.19,"""SOYBEANS""",899.9,64.0976,Basswood1,A,2007,Basswood
8,-93.276781,41.537149,1.19,"""SOYBEANS""",899.6,59.5447,Basswood1,A,2007,Basswood
9,-93.276739,41.537151,1.19,"""SOYBEANS""",899.3,64.146,Basswood1,A,2007,Basswood
10,-93.276699,41.537151,1.19,"""SOYBEANS""",898.6,69.7549,Basswood1,A,2007,Basswood
11,-93.276657,41.537151,1.19,"""SOYBEANS""",898.3,71.6447,Basswood1,A,2007,Basswood
12,-93.276616,41.537153,1.19,"""SOYBEANS""",897.6,71.9631,Basswood1,A,2007,Basswood
13,-93.276576,41.537153,1.19,"""SOYBEANS""",897.3,72.4408,Basswood1,A,2007,Basswood
14,-93.276534,41.537154,1.19,"""SOYBEANS""",896.7,62.9611,Basswood1,A,2007,Basswood
15,-93.276494,41.537154,1.19,"""SOYBEANS""",896.3,67.1868,Basswood1,A,2007,Basswood
16,-93.276451,41.537154,1.19,"""SOYBEANS""",895.7,67.9379,Basswood1,A,2007,Basswood
48,-93.276379,41.537218,1.19,"""SOYBEANS""",892.7,64.3559,Basswood1,A,2007,Basswood
49,-93.276427,41.537218,1.19,"""SOYBEANS""",893.4,61.4453,Basswood1,A,2007,Basswood
50,-93.276479,41.537218,1.19,"""SOYBEANS""",894,63.5705,Basswood1,A,2007,Basswood
51,-93.276527,41.537218,1.19,"""SOYBEANS""",894.7,60.7985,Basswood1,A,2007,Basswood
52,-93.276577,41.537216,1.19,"""SOYBEANS""",895.3,52.5244,Basswood1,A,2007,Basswood
53,-93.276627,41.537214,1.19,"""SOYBEANS""",895.3,67.4271,Basswood1,A,2007,Basswood
54,-93.276677,41.537214,1.19,"""SOYBEANS""",895.7,66.7554,Basswood1,A,2007,Basswood
55,-93.276727,41.537213,1.19,"""SOYBEANS""",896,66.2058,Basswood1,A,2007,Basswood
56,-93.276776,41.537211,1.19,"""SOYBEANS""",897,71.3412,Basswood1,A,2007,Basswood
57,-93.276826,41.537209,1.19,"""SOYBEANS""",897.3,60.8784,Basswood1,A,2007,Basswood
58,-93.276874,41.537208,1.19,"""SOYBEANS""",898,60.9994,Basswood1,A,2007,Basswood
59,-93.276924,41.537206,1.19,"""SOYBEANS""",898.6,64.9028,Basswood1,A,2007,Basswood
60,-93.276976,41.537206,1.19,"""SOYBEANS""",899.3,52.8933,Basswood1,A,2007,Basswood
61,-93.277026,41.537203,1.19,"""SOYBEANS""",900.3,30.4711,Basswood1,A,2007,Basswood
62,-93.277077,41.537198,1.19,"""SOYBEANS""",900.6,23.3476,Basswood1,A,2007,Basswood
63,-93.277122,41.537191,1.19,"""SOYBEANS""",901.6,36.9895,Basswood1,A,2007,Basswood
64,-93.277157,41.537183,1.19,"""SOYBEANS""",902.6,33.5701,Basswood1,A,2007,Basswood
65,-93.277157,41.537268,1.19,"""SOYBEANS""",902.9,34.6177,Basswood1,A,2007,Basswood
66,-93.277159,41.537293,1.19,"""SOYBEANS""",903.2,36.3682,Basswood1,A,2007,Basswood
67,-93.277157,41.537308,1.19,"""SOYBEANS""",903.2,46.8414,Basswood1,A,2007,Basswood
68,-93.277157,41.537323,1.19,"""SOYBEANS""",903.5,42.1908,Basswood1,A,2007,Basswood
69,-93.277159,41.537341,1.19,"""SOYBEANS""",903.5,49.415,Basswood1,A,2007,Basswood
70,-93.277159,41.537361,1.19,"""SOYBEANS""",903.5,50.0781,Basswood1,A,2007,Basswood
71,-93.277161,41.537381,1.19,"""SOYBEANS""",903.9,56.8583,Basswood1,A,2007,Basswood
72,-93.277162,41.537401,1.19,"""SOYBEANS""",904.2,59.832,Basswood1,A,2007,Basswood
73,-93.277162,41.537423,1.19,"""SOYBEANS""",904.2,57.572,Basswood1,A,2007,Basswood
74,-93.277161,41.537446,1.19,"""SOYBEANS""",904.5,48.2938,Basswood1,A,2007,Basswood
75,-93.277161,41.537474,1.19,"""SOYBEANS""",904.5,53.3819,Basswood1,A,2007,Basswood
76,-93.277159,41.537498,1.19,"""SOYBEANS""",904.5,71.694,Basswood1,A,2007,Basswood
77,-93.277159,41.537524,1.19,"""SOYBEANS""",904.5,65.5124,Basswood1,A,2007,Basswood
78,-93.277159,41.537553,1.19,"""SOYBEANS""",904.5,65.9092,Basswood1,A,2007,Basswood
79,-93.277159,41.537583,1.19,"""SOYBEANS""",904.5,53.0896,Basswood1,A,2007,Basswood
80,-93.277159,41.537611,1.19,"""SOYBEANS""",904.5,59.36,Basswood1,A,2007,Basswood
108,-93.277071,41.537636,1.19,"""SOYBEANS""",905.5,61.7583,Basswood1,A,2007,Basswood
